wavenumber,col,mean_cancer,mean_control,sd_cancer,sd_control,p_value,p_adj,log2_fc,abs_diff,neg_log10p,cancer,display
402,x_402.00,0.05952411612925628,0.12330116351952981,0.4602270960293752,0.494041026685689,0.37717070966766064,0.47272736399364973,-1.0506276789832272,-0.06377704739027354,0.3253892576770257,PRO,Prostate (PRC)
403.92,x_403.92,0.07447428304933129,0.10250905631988862,0.4347962628993161,0.4268879786586909,0.7237719360854955,0.7848614690615229,-0.46093183955305905,-0.028034773270557325,0.10520699106539233,PRO,Prostate (PRC)
405.85,x_405.85,0.0726521819076181,0.07945081535141912,0.43088905677868494,0.4084959203754001,0.994457241113148,0.9976582837347568,-0.12905420001395485,-0.006798633443801022,0.0010181870706164689,PRO,Prostate (PRC)
407.77,x_407.77,0.06206939160527093,0.05347315648562488,0.42092327534862484,0.39568409727081627,0.7368293712257143,0.7955374850993566,0.2150634278378173,0.00859623511964605,0.09933935192153813,PRO,Prostate (PRC)
409.69,x_409.69,0.04116995580749936,0.024414978705069593,0.4029494650042874,0.38066868022214906,0.6434822998194799,0.7188243134184155,0.7538013330383775,0.016754977102429767,0.1433772417955682,PRO,Prostate (PRC)
411.61,x_411.61,0.018790077322722875,-0.0025750322148985366,0.38827530859936604,0.3732641131335641,0.546169681770067,0.6281287238069035,NA,0.021365109537621413,0.20195134621444824,PRO,Prostate (PRC)
413.54,x_413.54,0.003920379266393033,-0.028800452887278866,0.3760937189771848,0.3711564676835411,0.42033662289764934,0.5071157966571641,NA,0.0327208321536719,0.29489286096822415,PRO,Prostate (PRC)
415.46,x_415.46,-0.005307334044019506,-0.054366233197054345,0.37363101857516196,0.3733220429470711,0.2906059787791319,0.3854136030616856,-3.35689693261768,0.04905889915303484,0.4140729611118842,PRO,Prostate (PRC)
417.38,x_417.38,-0.009991255926837122,-0.05240779937088921,0.37330179339141323,0.3797397678359127,0.4098981248348483,0.49773343729945857,-2.3911604602102114,0.04241654344405209,0.30300318275033433,PRO,Prostate (PRC)
419.31,x_419.31,-0.003985730375112886,-0.030883219466658417,0.37718000728452655,0.3874050541056887,0.715327234512278,0.7786157907671478,-2.95422242767155,0.02689748909154553,0.10867679279163496,PRO,Prostate (PRC)
421.23,x_421.23,0.007539770250468878,-0.002703874904356278,0.38906973067938866,0.3962349005911557,0.9287314390879605,0.9469617181540273,NA,0.010243645154825155,0.02366757741754113,PRO,Prostate (PRC)
423.15,x_423.15,0.01952622149312936,0.0327564844937047,0.4059393956055648,0.4059509741171104,0.6934074762783433,0.7600656392968944,-0.746337889742046,-0.013230263000575337,0.11914890041200031,PRO,Prostate (PRC)
425.07,x_425.07,0.032451474929053405,0.06987781645264521,0.42641817387216024,0.42141885028400794,0.43347442531198255,0.5208927283727528,-1.1065266663957267,-0.037426341523591804,0.2832517052465709,PRO,Prostate (PRC)
427,x_427.00,0.04388176227401418,0.10447867417219663,0.4509842329306846,0.4412977014235809,0.23830586578713056,0.32814612206220484,-1.2514960562806814,-0.06059691189818245,0.4839327237457357,PRO,Prostate (PRC)
