dataset_label,true_group,n_samples,sample_accuracy,group_accuracy,median_true_rank
Primary Thermo CV,NOR,100,0.44,0.69,5.5
Primary Thermo CV,YNOR,29,0.896551724137931,1.0,1.0
Primary Thermo CV,H.D.,100,0.64,0.74,2.0
Primary Thermo CV,YPAN,30,0.9666666666666667,0.9666666666666667,1.0
Primary Thermo CV,CPAN,70,0.9428571428571428,0.9571428571428572,1.0
Primary Thermo CV,SPAN,72,0.7777777777777778,0.8888888888888888,1.0
Primary Thermo CV,PRO,100,0.9,0.98,1.0
Primary Thermo CV,BLC,299,0.6622073578595318,0.9966555183946488,2.0
Primary Thermo CV,BRE,30,0.8666666666666667,0.9333333333333333,1.0
Primary Thermo CV,CRC,300,0.8133333333333334,0.98,1.0
Primary Thermo CV,DIA,100,0.68,0.87,2.0
Primary Thermo CV,HBP,100,0.67,0.98,1.0
Primary Thermo CV,LUN,300,0.84,0.9666666666666667,1.0
Primary Thermo CV,OVA,70,0.6142857142857143,0.7571428571428571,2.0
Thermo,NOR,100,0.0,0.16,441.0
Thermo,YNOR,13,0.0,0.0,871.0
Thermo,H.D.,99,0.0,0.0,416.0
Thermo,YPAN,30,0.06666666666666667,0.06666666666666667,159.5
Thermo,CPAN,70,0.05714285714285714,0.14285714285714285,628.5
Thermo,PRO,100,0.03,0.25,278.0
Thermo,BLC,299,0.11036789297658862,0.568561872909699,59.0
Thermo,BRE,30,0.06666666666666667,0.1,278.0
Thermo,CRC,300,0.0,0.016666666666666666,1063.0
Thermo,DIA,100,0.0,0.03,409.0
Thermo,HBP,100,0.01,0.09,332.5
Thermo,LUN,300,0.02,0.4,492.0
Thermo,OVA,70,0.0,0.14285714285714285,249.5
Handheld,NOR,100,0.0,0.0,463.5
Handheld,YNOR,13,0.0,0.0,852.0
Handheld,H.D.,100,0.0,0.04,390.5
Handheld,YPAN,30,0.06666666666666667,0.13333333333333333,112.0
Handheld,CPAN,70,0.04285714285714286,0.2,343.0
Handheld,PRO,99,0.020202020202020204,0.42424242424242425,200.0
Handheld,BLC,299,0.09364548494983277,0.5150501672240803,67.0
Handheld,BRE,30,0.03333333333333333,0.03333333333333333,234.0
Handheld,CRC,299,0.0033444816053511705,0.0802675585284281,1034.0
Handheld,DIA,99,0.0,0.06060606060606061,397.0
Handheld,HBP,100,0.0,0.19,336.0
Handheld,LUN,300,0.023333333333333334,0.4033333333333333,323.5
Handheld,OVA,70,0.0,0.04285714285714286,196.5
Medical,NOR,100,0.0,0.0,535.0
Medical,YNOR,13,0.0,0.0,459.0
Medical,H.D.,97,0.0,0.0,610.0
Medical,YPAN,30,0.03333333333333333,0.2,224.25
Medical,CPAN,70,0.05714285714285714,0.6142857142857143,393.25
Medical,PRO,100,0.0,0.0,291.0
Medical,BLC,299,0.023411371237458192,0.2040133779264214,112.0
Medical,BRE,30,0.0,0.0,467.25
Medical,CRC,300,0.0,0.0,1036.0
Medical,DIA,100,0.0,0.0,631.5
Medical,HBP,100,0.0,0.0,471.75
Medical,LUN,300,0.01,0.043333333333333335,616.75
Medical,OVA,70,0.014285714285714285,0.02857142857142857,281.5
