component,explained_variance
PC1,0.28102861130496276
PC2,0.16989284128673046
PC3,0.07982336845231905
PC4,0.051251985447458556
PC5,0.043012360140495864
PC6,0.03530300463201817
PC7,0.026530903628534698
PC8,0.020335020767394473
PC9,0.01685522108544742
PC10,0.01391839863428988
PC11,0.012800922552566514
PC12,0.011775409091314823
PC13,0.00955915160915499
PC14,0.008714111579848314
PC15,0.008274564985800962
PC16,0.007358450017883089
PC17,0.006982732350962637
PC18,0.006573276598553045
PC19,0.006143389365417871
PC20,0.0055115539368242985
