dataset,dataset_label,sample_id,comparison,similarity
lot_balanced_thermo,Thermo,BLC 1,True same sample,0.8329683532258487
lot_balanced_thermo,Thermo,BLC 1,Best wrong primary,0.9330702074658672
lot_balanced_thermo,Thermo,BLC 1,Random same-group primary,0.3550098972996259
lot_balanced_thermo,Thermo,BLC 1,Random same-group primary,0.2019131072276062
lot_balanced_thermo,Thermo,BLC 1,Random same-group primary,0.4635564035974493
lot_balanced_thermo,Thermo,BLC 1,Random same-group primary,0.6537540369865369
lot_balanced_thermo,Thermo,BLC 1,Random same-group primary,0.6750928640296252
lot_balanced_thermo,Thermo,BLC 1,Random other-group primary,0.341501351205064
lot_balanced_thermo,Thermo,BLC 1,Random other-group primary,0.16613315779030866
lot_balanced_thermo,Thermo,BLC 1,Random other-group primary,0.09551483969377025
lot_balanced_thermo,Thermo,BLC 1,Random other-group primary,0.34068106107266927
lot_balanced_thermo,Thermo,BLC 1,Random other-group primary,0.0323985363842537
lot_balanced_thermo,Thermo,BLC 2,True same sample,0.48061649887402613
lot_balanced_thermo,Thermo,BLC 2,Best wrong primary,0.9263678327057915
lot_balanced_thermo,Thermo,BLC 2,Random same-group primary,0.5894776940915256
lot_balanced_thermo,Thermo,BLC 2,Random same-group primary,0.2537612260440965
lot_balanced_thermo,Thermo,BLC 2,Random same-group primary,0.4459125678124126
lot_balanced_thermo,Thermo,BLC 2,Random same-group primary,0.5984378129808137
lot_balanced_thermo,Thermo,BLC 2,Random same-group primary,0.4431792496820707
lot_balanced_thermo,Thermo,BLC 2,Random other-group primary,0.4070779474275882
lot_balanced_thermo,Thermo,BLC 2,Random other-group primary,0.2015527150522623
lot_balanced_thermo,Thermo,BLC 2,Random other-group primary,0.2889849864876828
lot_balanced_thermo,Thermo,BLC 2,Random other-group primary,0.14836156068682568
lot_balanced_thermo,Thermo,BLC 2,Random other-group primary,0.4198113776684267
lot_balanced_thermo,Thermo,BLC 3,True same sample,0.7270695427963642
lot_balanced_thermo,Thermo,BLC 3,Best wrong primary,0.8271240064076992
lot_balanced_thermo,Thermo,BLC 3,Random same-group primary,0.43446155333504666
lot_balanced_thermo,Thermo,BLC 3,Random same-group primary,0.503246979574653
lot_balanced_thermo,Thermo,BLC 3,Random same-group primary,0.7048418493130191
lot_balanced_thermo,Thermo,BLC 3,Random same-group primary,0.48908229299088635
lot_balanced_thermo,Thermo,BLC 3,Random same-group primary,0.7680220811624365
lot_balanced_thermo,Thermo,BLC 3,Random other-group primary,0.4579017700381278
lot_balanced_thermo,Thermo,BLC 3,Random other-group primary,0.5454857640580545
lot_balanced_thermo,Thermo,BLC 3,Random other-group primary,0.6029015392319618
lot_balanced_thermo,Thermo,BLC 3,Random other-group primary,0.19681204231096194
lot_balanced_thermo,Thermo,BLC 3,Random other-group primary,0.22308632229307984
lot_balanced_thermo,Thermo,BLC 4,True same sample,0.3883771131445566
lot_balanced_thermo,Thermo,BLC 4,Best wrong primary,0.9025655423817133
lot_balanced_thermo,Thermo,BLC 4,Random same-group primary,0.48822577485391316
lot_balanced_thermo,Thermo,BLC 4,Random same-group primary,0.647160697606736
lot_balanced_thermo,Thermo,BLC 4,Random same-group primary,0.7900553495797857
lot_balanced_thermo,Thermo,BLC 4,Random same-group primary,0.7234229155116134
lot_balanced_thermo,Thermo,BLC 4,Random same-group primary,0.7782995301482228
lot_balanced_thermo,Thermo,BLC 4,Random other-group primary,0.35698935978390445
lot_balanced_thermo,Thermo,BLC 4,Random other-group primary,0.5143484521015543
lot_balanced_thermo,Thermo,BLC 4,Random other-group primary,0.31630770104564293
lot_balanced_thermo,Thermo,BLC 4,Random other-group primary,0.6330257636066915
lot_balanced_thermo,Thermo,BLC 4,Random other-group primary,0.7331711189205691
lot_balanced_thermo,Thermo,BLC 5,True same sample,0.8410829422736934
lot_balanced_thermo,Thermo,BLC 5,Best wrong primary,0.9423072652079183
lot_balanced_thermo,Thermo,BLC 5,Random same-group primary,0.42371397486489054
lot_balanced_thermo,Thermo,BLC 5,Random same-group primary,0.2938198399798479
lot_balanced_thermo,Thermo,BLC 5,Random same-group primary,0.773329395420307
lot_balanced_thermo,Thermo,BLC 5,Random same-group primary,0.7164259333053198
lot_balanced_thermo,Thermo,BLC 5,Random same-group primary,0.4050805530114393
lot_balanced_thermo,Thermo,BLC 5,Random other-group primary,0.03347315260975219
lot_balanced_thermo,Thermo,BLC 5,Random other-group primary,0.3887834629494911
lot_balanced_thermo,Thermo,BLC 5,Random other-group primary,0.7039350636637162
lot_balanced_thermo,Thermo,BLC 5,Random other-group primary,0.15469039303090965
lot_balanced_thermo,Thermo,BLC 5,Random other-group primary,0.5435918821483673
lot_balanced_thermo,Thermo,BLC 6,True same sample,0.6344385949703496
lot_balanced_thermo,Thermo,BLC 6,Best wrong primary,0.8909407445315413
lot_balanced_thermo,Thermo,BLC 6,Random same-group primary,0.24123762409169983
lot_balanced_thermo,Thermo,BLC 6,Random same-group primary,0.546428309841092
lot_balanced_thermo,Thermo,BLC 6,Random same-group primary,0.7650359328562173
lot_balanced_thermo,Thermo,BLC 6,Random same-group primary,0.5282745992966542
lot_balanced_thermo,Thermo,BLC 6,Random same-group primary,0.650871169675563
lot_balanced_thermo,Thermo,BLC 6,Random other-group primary,0.8046906288817133
lot_balanced_thermo,Thermo,BLC 6,Random other-group primary,0.41970158035600086
lot_balanced_thermo,Thermo,BLC 6,Random other-group primary,0.3250542509419506
lot_balanced_thermo,Thermo,BLC 6,Random other-group primary,0.42240493333904816
lot_balanced_thermo,Thermo,BLC 6,Random other-group primary,0.7281568902128182
lot_balanced_thermo,Thermo,BLC 7,True same sample,0.8222130784444636
lot_balanced_thermo,Thermo,BLC 7,Best wrong primary,0.9054102032059049
lot_balanced_thermo,Thermo,BLC 7,Random same-group primary,0.2489703791636933
lot_balanced_thermo,Thermo,BLC 7,Random same-group primary,0.31282993522470665
lot_balanced_thermo,Thermo,BLC 7,Random same-group primary,0.2328051665042587
lot_balanced_thermo,Thermo,BLC 7,Random same-group primary,0.4055935985972094
lot_balanced_thermo,Thermo,BLC 7,Random same-group primary,0.41108168678413515
lot_balanced_thermo,Thermo,BLC 7,Random other-group primary,0.04819619395588888
lot_balanced_thermo,Thermo,BLC 7,Random other-group primary,0.2278343241524534
lot_balanced_thermo,Thermo,BLC 7,Random other-group primary,0.37786860759472257
lot_balanced_thermo,Thermo,BLC 7,Random other-group primary,0.14854653012350733
lot_balanced_thermo,Thermo,BLC 7,Random other-group primary,-0.038265050896115475
lot_balanced_thermo,Thermo,BLC 8,True same sample,0.629464780003832
lot_balanced_thermo,Thermo,BLC 8,Best wrong primary,0.8452104709686271
lot_balanced_thermo,Thermo,BLC 8,Random same-group primary,0.6616437492545503
lot_balanced_thermo,Thermo,BLC 8,Random same-group primary,0.7422123244402321
lot_balanced_thermo,Thermo,BLC 8,Random same-group primary,0.6456709970583641
lot_balanced_thermo,Thermo,BLC 8,Random same-group primary,0.6470860818913249
lot_balanced_thermo,Thermo,BLC 8,Random same-group primary,0.543447640349967
lot_balanced_thermo,Thermo,BLC 8,Random other-group primary,0.4132153529810324
lot_balanced_thermo,Thermo,BLC 8,Random other-group primary,0.3914367105544864
lot_balanced_thermo,Thermo,BLC 8,Random other-group primary,0.2977327244916532
lot_balanced_thermo,Thermo,BLC 8,Random other-group primary,0.39365685515962273
lot_balanced_thermo,Thermo,BLC 8,Random other-group primary,0.2479792801985173
lot_balanced_thermo,Thermo,BLC 9,True same sample,0.7117352742704132
lot_balanced_thermo,Thermo,BLC 9,Best wrong primary,0.9197410107742816
lot_balanced_thermo,Thermo,BLC 9,Random same-group primary,0.7142488355341013
lot_balanced_thermo,Thermo,BLC 9,Random same-group primary,0.7855695993393849
lot_balanced_thermo,Thermo,BLC 9,Random same-group primary,0.4890176615627348
lot_balanced_thermo,Thermo,BLC 9,Random same-group primary,0.888576146268337
lot_balanced_thermo,Thermo,BLC 9,Random same-group primary,0.7414998338044104
lot_balanced_thermo,Thermo,BLC 9,Random other-group primary,0.21414211319081145
lot_balanced_thermo,Thermo,BLC 9,Random other-group primary,0.4590216293494013
lot_balanced_thermo,Thermo,BLC 9,Random other-group primary,0.1376973360926314
lot_balanced_thermo,Thermo,BLC 9,Random other-group primary,0.5060105118270213
lot_balanced_thermo,Thermo,BLC 9,Random other-group primary,0.3121341852625182
lot_balanced_thermo,Thermo,BLC 10,True same sample,0.3581388384678721
lot_balanced_thermo,Thermo,BLC 10,Best wrong primary,0.8185006756004282
lot_balanced_thermo,Thermo,BLC 10,Random same-group primary,0.5539143562984656
lot_balanced_thermo,Thermo,BLC 10,Random same-group primary,0.478042759107384
lot_balanced_thermo,Thermo,BLC 10,Random same-group primary,0.4857499874921115
lot_balanced_thermo,Thermo,BLC 10,Random same-group primary,0.6833938813363001
lot_balanced_thermo,Thermo,BLC 10,Random same-group primary,0.5697548709891936
lot_balanced_thermo,Thermo,BLC 10,Random other-group primary,-0.0615694211290435
lot_balanced_thermo,Thermo,BLC 10,Random other-group primary,0.07972138949224272
lot_balanced_thermo,Thermo,BLC 10,Random other-group primary,0.10124257884997939
lot_balanced_thermo,Thermo,BLC 10,Random other-group primary,0.13965345113373806
lot_balanced_thermo,Thermo,BLC 10,Random other-group primary,0.42109948583933277
lot_balanced_thermo,Thermo,BLC 11,True same sample,0.4229600104084929
lot_balanced_thermo,Thermo,BLC 11,Best wrong primary,0.8175584326379799
lot_balanced_thermo,Thermo,BLC 11,Random same-group primary,0.5473496790141634
lot_balanced_thermo,Thermo,BLC 11,Random same-group primary,0.5131128513862739
lot_balanced_thermo,Thermo,BLC 11,Random same-group primary,0.6248942496017154
lot_balanced_thermo,Thermo,BLC 11,Random same-group primary,0.6110619869217897
lot_balanced_thermo,Thermo,BLC 11,Random same-group primary,0.7697183730443301
lot_balanced_thermo,Thermo,BLC 11,Random other-group primary,0.4681152236055588
lot_balanced_thermo,Thermo,BLC 11,Random other-group primary,0.6088915634644645
lot_balanced_thermo,Thermo,BLC 11,Random other-group primary,0.6336311901799035
lot_balanced_thermo,Thermo,BLC 11,Random other-group primary,0.6360406801122382
lot_balanced_thermo,Thermo,BLC 11,Random other-group primary,0.26454436470687437
lot_balanced_thermo,Thermo,BLC 12,True same sample,0.4049993362823367
lot_balanced_thermo,Thermo,BLC 12,Best wrong primary,0.8265447606212722
lot_balanced_thermo,Thermo,BLC 12,Random same-group primary,0.413498159774814
lot_balanced_thermo,Thermo,BLC 12,Random same-group primary,0.7702459885449401
lot_balanced_thermo,Thermo,BLC 12,Random same-group primary,0.3329518599311942
lot_balanced_thermo,Thermo,BLC 12,Random same-group primary,0.5806437389851337
lot_balanced_thermo,Thermo,BLC 12,Random same-group primary,0.7795297578242887
lot_balanced_thermo,Thermo,BLC 12,Random other-group primary,0.5492392827814843
lot_balanced_thermo,Thermo,BLC 12,Random other-group primary,0.5865510276504112
lot_balanced_thermo,Thermo,BLC 12,Random other-group primary,0.68164420591608
lot_balanced_thermo,Thermo,BLC 12,Random other-group primary,0.6058771596744165
lot_balanced_thermo,Thermo,BLC 12,Random other-group primary,0.4134535343661159
lot_balanced_thermo,Thermo,BLC 13,True same sample,0.693100962687342
lot_balanced_thermo,Thermo,BLC 13,Best wrong primary,0.9106253075431212
lot_balanced_thermo,Thermo,BLC 13,Random same-group primary,0.8825398149770616
lot_balanced_thermo,Thermo,BLC 13,Random same-group primary,0.7889875374338379
lot_balanced_thermo,Thermo,BLC 13,Random same-group primary,0.8572210347025376
lot_balanced_thermo,Thermo,BLC 13,Random same-group primary,0.7828214658372854
lot_balanced_thermo,Thermo,BLC 13,Random same-group primary,0.780600431494415
lot_balanced_thermo,Thermo,BLC 13,Random other-group primary,0.15159412852273937
lot_balanced_thermo,Thermo,BLC 13,Random other-group primary,0.7291568895209347
lot_balanced_thermo,Thermo,BLC 13,Random other-group primary,0.46722190503387695
lot_balanced_thermo,Thermo,BLC 13,Random other-group primary,0.6663084617494799
lot_balanced_thermo,Thermo,BLC 13,Random other-group primary,0.2568304885135287
lot_balanced_thermo,Thermo,BLC 14,True same sample,0.32806202073876956
lot_balanced_thermo,Thermo,BLC 14,Best wrong primary,0.6841557243295785
lot_balanced_thermo,Thermo,BLC 14,Random same-group primary,0.5472619972045183
lot_balanced_thermo,Thermo,BLC 14,Random same-group primary,0.4489837632318403
lot_balanced_thermo,Thermo,BLC 14,Random same-group primary,0.6295645284126961
lot_balanced_thermo,Thermo,BLC 14,Random same-group primary,0.40724099349391246
lot_balanced_thermo,Thermo,BLC 14,Random same-group primary,0.5382734563510885
lot_balanced_thermo,Thermo,BLC 14,Random other-group primary,0.38451544038611674
lot_balanced_thermo,Thermo,BLC 14,Random other-group primary,0.5941703374082767
lot_balanced_thermo,Thermo,BLC 14,Random other-group primary,0.47044104134240033
lot_balanced_thermo,Thermo,BLC 14,Random other-group primary,0.5858672800181174
lot_balanced_thermo,Thermo,BLC 14,Random other-group primary,0.3939523452850622
lot_balanced_thermo,Thermo,BLC 15,True same sample,0.5665580282190925
lot_balanced_thermo,Thermo,BLC 15,Best wrong primary,0.7920132396340541
