cancer_type,metabolite,n_peaks_matched,mean_sers_correlation,peaks_matched,best_peak_rank,composite_score
PRO,Stearic acid,4,0.6944,849; 1001; 1449; 1601,1,2.7776
PRO,Phenylalanine,4,0.6613,849; 1001; 1449; 1601,1,2.6452
PRO,Palmitic acid,4,0.639,849; 1001; 1449; 1601,1,2.556
PRO,Benzoic acid,4,0.5997,849; 1001; 1449; 1601,1,2.3988
PRO,Cholesterol,4,0.5898,849; 1001; 1449; 1601,1,2.3592
PRO,2-Phenylacetamide,3,0.7764000000000001,1001; 1449; 1601,1,2.3292
PRO,Hippuric acid,3,0.7642000000000001,1001; 1449; 1601,1,2.2926
PRO,3-Hepatanone,4,0.5689,849; 1001; 1449; 1601,1,2.2756
PRO,Leucine,4,0.5365,849; 1001; 1449; 1601,1,2.146
PRO,Aspartic acid,4,0.5246,849; 1001; 1449; 1601,1,2.0984
PRO,Methyl-beta-D-Ribofuranoside,4,0.5207,849; 1001; 1449; 1601,1,2.0828
PRO,Methyl 2-Hydroxyisobutyrate,4,0.5066,849; 1001; 1449; 1601,1,2.0264
PRO,1-Octanol,4,0.5054,849; 1001; 1449; 1601,1,2.0216
PRO,"1,2,4,-Trimethylbenzene",4,0.5052,849; 1001; 1449; 1601,1,2.0208
PRO,Isoleucine,4,0.4915,849; 1001; 1449; 1601,1,1.966
PRO,Arginine,4,0.4801,849; 1001; 1449; 1601,1,1.9204
PRO,Galactosamine,4,0.4782,849; 1001; 1449; 1601,1,1.9128
PRO,Alanine,4,0.4733,849; 1001; 1449; 1601,1,1.8932
PRO,Trimethylamine-N-oxide,3,0.6203,849; 1001; 1449,1,1.8609
PRO,p-Cymene,4,0.4521,849; 1001; 1449; 1601,1,1.8084
PRO,Fucose,4,0.4452,849; 1001; 1449; 1601,1,1.7808
PRO,Choline,4,0.4438,724; 849; 1449; 1601,3,1.7752
PRO,Proline,4,0.4375,849; 1001; 1449; 1601,1,1.75
PRO,Maleic acid,4,0.4369,849; 1449; 1601; 1647,4,1.7476
PRO,Ascorbic acid,3,0.5802,849; 1449; 1601,4,1.7406000000000001
PRO,Methyl alfa-D-Glucopyranoside,4,0.4239,849; 1001; 1449; 1601,1,1.6956
PRO,Glucose,4,0.3983,849; 1001; 1449; 1601,1,1.5932
PRO,Xylonic acid,3,0.5298,849; 1449; 1601,4,1.5894000000000001
PRO,Hypoxanthine,4,0.3826,724; 1001; 1449; 1601,1,1.5304
PRO,Betaine,4,0.3729,849; 1001; 1449; 1601,1,1.4916
PRO,Spermidine,4,0.3727,849; 1001; 1449; 1601,1,1.4908
PRO,Pseudouridine,5,0.29,849; 1001; 1449; 1601; 1647,1,1.45
PRO,8-Hydroxy-2-deoxyguanosine,4,0.3611,724; 849; 1449; 1601,3,1.4444
PRO,Anisole,3,0.47890000000000005,849; 1001; 1449,1,1.4367
PRO,Adenosine,2,0.6271,724; 1001,1,1.2542
PRO,2-Naphthol,3,0.4076,849; 1001; 1449,1,1.2228
PRO,Valine,3,0.3775,849; 1449; 1601,4,1.1325
PRO,Tryptophan,3,0.3748,849; 1001; 1449,1,1.1244
