cancer_type,n_samples,peak_rank,peak_wavenumber,peak_intensity,peak_prominence,band_assignment,metabolite,metabolite_peak_cm1,delta_cm1,vibration_mode,sers_correlation
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),2-Phenylacetamide,999.7,0.2,phenylalanine ring breathing (strongest SERS peak),0.7764
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Hippuric acid,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.7642
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Stearic acid,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.6944
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Phenylalanine,999.7,0.2,phenylalanine ring breathing (strongest SERS peak),0.6613
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Palmitic acid,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.639
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Adenosine,995.8,3.6,phenylalanine ring breathing (strongest SERS peak),0.6271
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Trimethylamine-N-oxide,1001.6,2.1,phenylalanine ring breathing (strongest SERS peak),0.6203
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Benzoic acid,1003.4,3.9,phenylalanine ring breathing (strongest SERS peak),0.5997
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Cholesterol,995.8,3.6,phenylalanine ring breathing (strongest SERS peak),0.5898
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),3-Hepatanone,999.7,0.2,phenylalanine ring breathing (strongest SERS peak),0.5689
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Leucine,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.5365
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Aspartic acid,995.8,3.6,phenylalanine ring breathing (strongest SERS peak),0.5246
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Methyl-beta-D-Ribofuranoside,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.5207
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Methyl 2-Hydroxyisobutyrate,999.7,0.2,phenylalanine ring breathing (strongest SERS peak),0.5066
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),1-Octanol,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.5054
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),"1,2,4,-Trimethylbenzene",997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.5052
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Isoleucine,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4915
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Arginine,1001.6,2.1,phenylalanine ring breathing (strongest SERS peak),0.4801
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Anisole,995.8,3.6,phenylalanine ring breathing (strongest SERS peak),0.4789
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Galactosamine,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4782
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Alanine,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4733
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),p-Cymene,999.7,0.2,phenylalanine ring breathing (strongest SERS peak),0.4521
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Fucose,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4452
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Proline,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4375
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Methyl alfa-D-Glucopyranoside,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4239
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),2-Naphthol,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.4076
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Glucose,997.8,1.7,phenylalanine ring breathing (strongest SERS peak),0.3983
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Hypoxanthine,993.9,5.6,phenylalanine ring breathing (strongest SERS peak),0.3826
PRO,100,1,1001.47,4.746498948567319,5.564711768249952,~999 (Phe ring),Tryptophan,1001.6,2.1,phenylalanine ring breathing (strongest SERS peak),0.3748
