band_name,wavenumber_range,assigned_metabolites,cancer_mean,cancer_std,control_mean,control_std,cohens_d,direction,t_test_p,mann_whitney_p,significant_005
Phe ring (999-1010),999-1010,"Phenylalanine, 2-Phenylacetamide, Hippuric acid, Benzoic acid",4.398178455766518,1.1640149528368828,4.461046233502559,1.174324943749058,-0.053770768531015686,Cancer DOWN,0.37280419042601726,0.15780353599614783,False
Adenine (720-730),720-730,"Adenine, Hypoxanthine, nucleotide metabolism",1.249845118189871,1.0793728802010678,2.5615881274267576,1.2286846200787922,-1.1342930383834724,Cancer DOWN,1.364662093908698e-72,3.041463707414515e-67,True
C-S stretch (615-625),615-625,"Cysteine, thiol compounds",-0.031206366300701692,0.497216831325883,-0.3319564967321327,0.26129703622585604,0.7572175061582165,Cancer UP,1.0574769509064227e-28,9.561400289353192e-23,True
Tyr/Trp (845-855),845-855,"Tyrosine, Tryptophan, Cysteine",0.055710063658746735,0.3996019468530818,0.20006842150652523,0.2477413425340083,-0.4342144928813157,Cancer DOWN,4.075159684206513e-11,1.0528600304179737e-20,True
Amide III (1225-1300),1225-1300,"Tryptophan, Taurine, Kynurenine, Threonine",0.02662150995114624,0.37462511314324876,0.05832335844058831,0.2881785862391129,-0.09485645089262172,Cancer DOWN,0.13373602709519955,3.3459170708455183e-05,False
CH2 def (1440-1460),1440-1460,"Lipids, fatty acids (non-specific)",1.3317731939664106,0.7735011293190315,1.5754846406349523,0.47520971989379424,-0.37965884151911683,Cancer DOWN,7.607489610677678e-09,1.1196537237000952e-11,True
Purine/C=C (1590-1605),1590-1605,"Adenine, Kynurenine, Tyrosine, Phenylalanine",0.558919923986474,0.641497058559867,1.0623294995551367,0.4166648592787318,-0.9307027550906173,Cancer DOWN,1.8854283080981594e-43,1.6492836871169307e-52,True
Amide I (1645-1660),1645-1660,"Maleic acid, Kynurenine, Glycogen",0.7977845611145611,0.7556684123172864,0.7902886366687318,0.5359468798742834,0.011442667246197167,Cancer UP,0.858141989252939,0.1301611745781724,False
Creatinine (680-690),680-690,"Creatinine, Guanine, Purine",-0.024938997084677738,0.31796499139655854,0.375768095835968,0.31841328442880035,-1.2593358658486238,Cancer DOWN,2.9258296901059054e-83,4.7635672662265894e-73,True
Hippuric (790-800),790-800,"Hippuric acid, Kynurenine",-0.09421184520268783,0.6481428184163898,-0.6241798500230864,0.22969520102032948,1.0899420607912136,Cancer UP,4.9195200430147514e-52,1.1856026194429824e-42,True
