sers_peak_cm1,metabolite,metabolite_peak_cm1,delta_cm1,vibration_mode
448.1,4-Methoxyphenol,438.5,9.6,unassigned
448.1,Creatinine,457.8,9.7,unassigned
538.7,1-Hydroxylpyrene,548.4,9.7,unassigned
538.7,Adenine,534.9,3.8,unassigned
538.7,Betaine,544.4,5.7,unassigned
538.7,Cholesterol,548.4,9.7,unassigned
538.7,Cysteine,533.0,5.7,unassigned
538.7,Glutamic acid,542.7,4.0,unassigned
538.7,Hypoxanthine,546.5,7.8,unassigned
538.7,Taurine,546.5,7.8,unassigned
538.7,Xylose,536.9,1.8,unassigned
617.7,2-Naphthol,614.0,3.7,"C-S stretch (cysteine, methionine)"
617.7,2-Phenylacetamide,619.8,2.1,"C-S stretch (cysteine, methionine)"
617.7,8-Hydroxy-2-deoxyguanosine,615.9,1.8,"C-S stretch (cysteine, methionine)"
617.7,Adenine,614.0,3.7,"C-S stretch (cysteine, methionine)"
617.7,Adenosine,627.5,9.8,"C-S stretch (cysteine, methionine)"
617.7,Arginine,612.1,5.7,"C-S stretch (cysteine, methionine)"
617.7,Aspartic acid,615.9,1.8,"C-S stretch (cysteine, methionine)"
617.7,Betaine,613.8,3.9,"C-S stretch (cysteine, methionine)"
617.7,Cholesterol,614.0,3.7,"C-S stretch (cysteine, methionine)"
617.7,Choline,615.8,2.0,"C-S stretch (cysteine, methionine)"
617.7,Creatinine,621.7,4.0,"C-S stretch (cysteine, methionine)"
617.7,Fucose,612.1,5.7,"C-S stretch (cysteine, methionine)"
617.7,Hippuric acid,614.0,3.7,"C-S stretch (cysteine, methionine)"
617.7,Hypoxanthine,617.9,0.1,"C-S stretch (cysteine, methionine)"
617.7,Palmitic acid,614.0,3.7,"C-S stretch (cysteine, methionine)"
617.7,Phenylalanine,617.9,0.1,"C-S stretch (cysteine, methionine)"
617.7,Proline,612.1,5.7,"C-S stretch (cysteine, methionine)"
617.7,Spermidine,617.9,0.1,"C-S stretch (cysteine, methionine)"
617.7,Stearic acid,614.0,3.7,"C-S stretch (cysteine, methionine)"
617.7,Uracil,612.1,5.7,"C-S stretch (cysteine, methionine)"
617.7,Xylonic acid,614.0,3.7,"C-S stretch (cysteine, methionine)"
683.3,"1,2,4,-Trimethylbenzene",677.6,5.6,unassigned
683.3,1-Octanol,677.6,5.6,unassigned
683.3,2-Naphthol,677.6,5.6,unassigned
683.3,8-Hydroxy-2-deoxyguanosine,673.8,9.5,unassigned
683.3,Acrylic acid,677.6,5.6,unassigned
683.3,Adenosine,673.8,9.5,unassigned
683.3,Anisole,681.5,1.8,unassigned
683.3,Arginine,675.7,7.6,unassigned
683.3,Ascorbic acid,681.5,1.8,unassigned
683.3,Aspartic acid,675.7,7.6,unassigned
683.3,Benzoic acid,681.3,2.0,unassigned
683.3,Betaine,681.3,2.0,unassigned
683.3,Choline,685.2,1.9,unassigned
683.3,Creatinine,679.6,3.7,unassigned
683.3,Cysteine,673.8,9.5,unassigned
683.3,Galactosamine,683.4,0.1,unassigned
683.3,Glutamic acid,673.8,9.5,unassigned
683.3,Glycocholic acid,673.8,9.5,unassigned
683.3,Hippuric acid,673.8,9.5,unassigned
683.3,Hypoxanthine,673.8,9.5,unassigned
683.3,Isoleucine,679.6,3.7,unassigned
683.3,Kaempferol,675.6,7.7,unassigned
683.3,Kynurenine,677.6,5.6,unassigned
683.3,Leucine,677.6,5.6,unassigned
683.3,Maleic acid,683.3,0.0,unassigned
683.3,Methyl 2-Hydroxyisobutyrate,679.6,3.7,unassigned
683.3,Methyl DL-2-Aminobutyrate,683.4,0.1,unassigned
683.3,Methyl-beta-D-Ribofuranoside,683.4,0.1,unassigned
683.3,N-Acetylneuraminic acid,681.5,1.8,unassigned
683.3,Palmitic acid,683.4,0.1,unassigned
683.3,Proline,681.5,1.8,unassigned
683.3,Pyrimidine,681.5,1.8,unassigned
683.3,Serine,681.5,1.8,unassigned
683.3,Threonine,679.6,3.7,unassigned
683.3,Trimethylamine-N-oxide,681.5,1.8,unassigned
683.3,Tyrosine,677.6,5.6,unassigned
683.3,Xylonic acid,683.4,0.1,unassigned
683.3,Xylose,679.6,3.7,unassigned
683.3,p-Cymene,675.7,7.6,unassigned
723.8,8-Hydroxy-2-deoxyguanosine,720.1,3.7,"C-N stretch, adenine ring breathing"
723.8,Adenine,729.7,5.9,"C-N stretch, adenine ring breathing"
723.8,Adenosine,733.6,9.8,"C-N stretch, adenine ring breathing"
723.8,Choline,718.0,5.8,"C-N stretch, adenine ring breathing"
723.8,Creatinine,716.2,7.6,"C-N stretch, adenine ring breathing"
723.8,Hypoxanthine,720.1,3.7,"C-N stretch, adenine ring breathing"
723.8,Kynurenine,725.9,2.1,"C-N stretch, adenine ring breathing"
795.1,1-Hydroxylpyrene,795.3,0.2,unassigned
795.1,2-Naphthol,797.2,2.1,unassigned
795.1,4-Pyridoxic acid,793.4,1.8,unassigned
795.1,Adenosine,799.1,4.0,unassigned
795.1,Cholesterol,795.3,0.2,unassigned
795.1,Hippuric acid,799.1,4.0,unassigned
795.1,Kynurenine,799.1,4.0,unassigned
795.1,O-Acetylcarnitine,797.2,2.1,unassigned
795.1,Palmitic acid,797.2,2.1,unassigned
795.1,Pseudouridine,791.4,3.7,unassigned
795.1,Stearic acid,797.2,2.1,unassigned
795.1,Uracil,791.4,3.7,unassigned
849.1,"1,2,4,-Trimethylbenzene",845.4,3.7,tyrosine ring breathing
849.1,1-Hydroxylpyrene,845.4,3.7,tyrosine ring breathing
849.1,1-Octanol,847.4,1.8,tyrosine ring breathing
849.1,2-Naphthol,843.5,5.6,tyrosine ring breathing
849.1,3-Hepatanone,845.4,3.7,tyrosine ring breathing
849.1,4-Pyridoxic acid,849.3,0.2,tyrosine ring breathing
849.1,8-Hydroxy-2-deoxyguanosine,845.4,3.7,tyrosine ring breathing
849.1,Acrylic acid,845.4,3.7,tyrosine ring breathing
849.1,Alanine,847.4,1.8,tyrosine ring breathing
849.1,Anisole,845.4,3.7,tyrosine ring breathing
849.1,Arginine,841.6,7.5,tyrosine ring breathing
849.1,Ascorbic acid,843.5,5.6,tyrosine ring breathing
849.1,Aspartic acid,847.4,1.8,tyrosine ring breathing
849.1,Benzoic acid,851.0,1.9,tyrosine ring breathing
849.1,Betaine,853.0,3.9,tyrosine ring breathing
849.1,Cholesterol,849.3,0.2,tyrosine ring breathing
849.1,Choline,853.0,3.9,tyrosine ring breathing
849.1,Cysteine,839.6,9.5,tyrosine ring breathing
849.1,Fucose,847.4,1.8,tyrosine ring breathing
849.1,Galactosamine,847.4,1.8,tyrosine ring breathing
849.1,Glucose,845.4,3.7,tyrosine ring breathing
849.1,Glutamic acid,845.4,3.7,tyrosine ring breathing
849.1,Glycine,847.4,1.8,tyrosine ring breathing
849.1,Glycocholic acid,849.3,0.2,tyrosine ring breathing
849.1,Glycogen,839.6,9.5,tyrosine ring breathing
849.1,Guanine,851.2,2.1,tyrosine ring breathing
849.1,Histidine,851.2,2.1,tyrosine ring breathing
849.1,Inosine,849.3,0.2,tyrosine ring breathing
849.1,Isoleucine,845.4,3.7,tyrosine ring breathing
849.1,Kynurenine,849.3,0.2,tyrosine ring breathing
849.1,Leucine,843.5,5.6,tyrosine ring breathing
849.1,Maleic acid,854.9,5.8,tyrosine ring breathing
849.1,Malic acid,847.4,1.8,tyrosine ring breathing
849.1,Methyl 2-Hydroxyisobutyrate,841.6,7.5,tyrosine ring breathing
849.1,Methyl DL-2-Aminobutyrate,849.3,0.2,tyrosine ring breathing
849.1,Methyl alfa-D-Glucopyranoside,841.6,7.5,tyrosine ring breathing
849.1,Methyl-beta-D-Ribofuranoside,845.4,3.7,tyrosine ring breathing
849.1,N-Acetylneuraminic acid,849.3,0.2,tyrosine ring breathing
849.1,NADH,839.6,9.5,tyrosine ring breathing
849.1,O-Acetylcarnitine,843.5,5.6,tyrosine ring breathing
849.1,Palmitic acid,849.3,0.2,tyrosine ring breathing
849.1,Phenylalanine,847.4,1.8,tyrosine ring breathing
849.1,Proline,849.3,0.2,tyrosine ring breathing
849.1,Pseudouridine,849.3,0.2,tyrosine ring breathing
849.1,Pyrimidine,845.4,3.7,tyrosine ring breathing
849.1,Serine,845.4,3.7,tyrosine ring breathing
849.1,Spermidine,849.3,0.2,tyrosine ring breathing
849.1,Sphinganine,853.1,4.0,tyrosine ring breathing
849.1,Stearic acid,845.4,3.7,tyrosine ring breathing
849.1,Taurine,845.4,3.7,tyrosine ring breathing
849.1,Threonine,845.4,3.7,tyrosine ring breathing
849.1,Trimethylamine-N-oxide,843.5,5.6,tyrosine ring breathing
849.1,Tryptophan,847.4,1.8,tyrosine ring breathing
849.1,Tyrosine,851.2,2.1,tyrosine ring breathing
849.1,Uric acid,847.4,1.8,tyrosine ring breathing
849.1,Valine,845.4,3.7,tyrosine ring breathing
849.1,Xanthine,847.4,1.8,tyrosine ring breathing
849.1,Xylonic acid,847.4,1.8,tyrosine ring breathing
849.1,Xylose,845.4,3.7,tyrosine ring breathing
849.1,cis-Aconitic acid,845.4,3.7,tyrosine ring breathing
849.1,p-Cymene,843.5,5.6,tyrosine ring breathing
849.1,trans-Aconitic acid,847.4,1.8,tyrosine ring breathing
895.4,"1,2,4,-Trimethylbenzene",891.7,3.7,unassigned
895.4,1-Octanol,891.7,3.7,unassigned
895.4,3-Hepatanone,893.6,1.7,unassigned
895.4,4-Methoxyphenol,895.6,0.2,unassigned
895.4,4-Pyridoxic acid,895.6,0.2,unassigned
895.4,8-Hydroxy-2-deoxyguanosine,891.7,3.7,unassigned
895.4,Acrylic acid,891.7,3.7,unassigned
895.4,Alanine,891.7,3.7,unassigned
895.4,Anisole,889.8,5.6,unassigned
895.4,Arginine,893.6,1.7,unassigned
895.4,Ascorbic acid,891.7,3.7,unassigned
895.4,Aspartic acid,891.7,3.7,unassigned
895.4,Benzoic acid,897.3,1.9,unassigned
895.4,Betaine,897.3,1.9,unassigned
895.4,Cholesterol,891.7,3.7,unassigned
895.4,Choline,897.3,1.9,unassigned
895.4,Cysteine,889.8,5.6,unassigned
895.4,Galactosamine,889.8,5.6,unassigned
895.4,Glutamic acid,887.8,7.5,unassigned
895.4,Glycine,889.8,5.6,unassigned
895.4,Glycogen,891.7,3.7,unassigned
895.4,Hippuric acid,889.8,5.6,unassigned
895.4,Isoleucine,891.7,3.7,unassigned
895.4,Leucine,891.7,3.7,unassigned
895.4,Maleic acid,897.3,1.9,unassigned
895.4,Malic acid,891.7,3.7,unassigned
895.4,Methyl 2-Hydroxyisobutyrate,891.7,3.7,unassigned
895.4,Methyl DL-2-Aminobutyrate,891.7,3.7,unassigned
895.4,Methyl alfa-D-Glucopyranoside,887.8,7.5,unassigned
895.4,Methyl-beta-D-Ribofuranoside,891.7,3.7,unassigned
895.4,N-Acetylneuraminic acid,889.8,5.6,unassigned
895.4,O-Acetylcarnitine,891.7,3.7,unassigned
895.4,Palmitic acid,891.7,3.7,unassigned
895.4,Pyrimidine,887.8,7.5,unassigned
895.4,Sphinganine,891.7,3.7,unassigned
895.4,Stearic acid,891.7,3.7,unassigned
895.4,Taurine,887.8,7.5,unassigned
895.4,Threonine,889.8,5.6,unassigned
895.4,Trimethylamine-N-oxide,893.6,1.7,unassigned
895.4,Uric acid,893.6,1.7,unassigned
895.4,Valine,889.8,5.6,unassigned
895.4,Xylonic acid,893.6,1.7,unassigned
895.4,Xylose,891.7,3.7,unassigned
895.4,cis-Aconitic acid,889.8,5.6,unassigned
895.4,p-Cymene,891.7,3.7,unassigned
895.4,trans-Aconitic acid,891.7,3.7,unassigned
933.9,"1,2,4,-Trimethylbenzene",932.2,1.7,unassigned
933.9,1-Octanol,932.2,1.7,unassigned
933.9,2-Naphthol,934.1,0.2,unassigned
933.9,2-Phenylacetamide,932.2,1.7,unassigned
933.9,3-Hepatanone,932.2,1.7,unassigned
933.9,4-Methoxyphenol,932.2,1.7,unassigned
933.9,4-Pyridoxic acid,934.1,0.2,unassigned
933.9,8-Hydroxy-2-deoxyguanosine,934.1,0.2,unassigned
933.9,Acrylic acid,934.1,0.2,unassigned
933.9,Alanine,932.2,1.7,unassigned
933.9,Anisole,934.1,0.2,unassigned
933.9,Arginine,932.2,1.7,unassigned
933.9,Ascorbic acid,934.1,0.2,unassigned
933.9,Aspartic acid,934.1,0.2,unassigned
933.9,Benzoic acid,935.9,1.9,unassigned
933.9,Betaine,935.9,1.9,unassigned
933.9,Cholesterol,932.2,1.7,unassigned
933.9,Choline,937.8,3.9,unassigned
933.9,Creatine,932.2,1.7,unassigned
933.9,Creatinine,934.1,0.2,unassigned
933.9,Cysteine,930.3,3.7,unassigned
933.9,Fucose,932.2,1.7,unassigned
933.9,Galactosamine,932.2,1.7,unassigned
933.9,Glucose,932.2,1.7,unassigned
933.9,Glutamic acid,932.2,1.7,unassigned
933.9,Glycine,932.2,1.7,unassigned
933.9,Glycocholic acid,934.1,0.2,unassigned
933.9,Glycogen,936.1,2.1,unassigned
933.9,Guanine,934.1,0.2,unassigned
933.9,Hippuric acid,932.2,1.7,unassigned
933.9,Histidine,932.2,1.7,unassigned
933.9,Inosine,934.1,0.2,unassigned
933.9,Isoleucine,932.2,1.7,unassigned
933.9,Kaempferol,934.0,0.1,unassigned
933.9,Kynurenine,934.1,0.2,unassigned
933.9,Leucine,932.2,1.7,unassigned
933.9,Maleic acid,937.8,3.9,unassigned
933.9,Malic acid,932.2,1.7,unassigned
933.9,Methyl 2-Hydroxyisobutyrate,932.2,1.7,unassigned
933.9,Methyl DL-2-Aminobutyrate,932.2,1.7,unassigned
933.9,Methyl alfa-D-Glucopyranoside,932.2,1.7,unassigned
933.9,Methyl-beta-D-Ribofuranoside,932.2,1.7,unassigned
933.9,N-Acetylneuraminic acid,934.1,0.2,unassigned
933.9,NADH,936.1,2.1,unassigned
933.9,O-Acetylcarnitine,934.1,0.2,unassigned
933.9,Palmitic acid,934.1,0.2,unassigned
933.9,Phenylalanine,932.2,1.7,unassigned
933.9,Pseudouridine,934.1,0.2,unassigned
933.9,Pyrimidine,932.2,1.7,unassigned
933.9,Serine,932.2,1.7,unassigned
933.9,Spermidine,932.2,1.7,unassigned
933.9,Sphinganine,932.2,1.7,unassigned
933.9,Stearic acid,934.1,0.2,unassigned
933.9,Taurine,932.2,1.7,unassigned
