metabolite,pearson_correlation
2-Phenylacetamide,0.7764
Hippuric acid,0.7642
Stearic acid,0.6944
Phenylalanine,0.6613
Palmitic acid,0.639
Adenosine,0.6271
Trimethylamine-N-oxide,0.6203
Benzoic acid,0.5997
Cholesterol,0.5898
Ascorbic acid,0.5802
3-Hepatanone,0.5689
Leucine,0.5365
Xylonic acid,0.5298
Aspartic acid,0.5246
Methyl-beta-D-Ribofuranoside,0.5207
Acrylic acid,0.5162
Methyl 2-Hydroxyisobutyrate,0.5066
1-Octanol,0.5054
"1,2,4,-Trimethylbenzene",0.5052
Isoleucine,0.4915
O-Acetylcarnitine,0.4891
Arginine,0.4801
Anisole,0.4789
Galactosamine,0.4782
Alanine,0.4733
Xylose,0.4721
p-Cymene,0.4521
Malic acid,0.4468
Serine,0.4454
Fucose,0.4452
Choline,0.4438
Taurine,0.4405
cis-Aconitic acid,0.4377
Proline,0.4375
Maleic acid,0.4369
N-Acetylneuraminic acid,0.4292
Methyl alfa-D-Glucopyranoside,0.4239
2-Naphthol,0.4076
Threonine,0.403
Glucose,0.3983
Pyrimidine,0.3924
Hypoxanthine,0.3826
Valine,0.3775
Tryptophan,0.3748
Betaine,0.3729
Spermidine,0.3727
NADH,0.3644
Glycine,0.3627
8-Hydroxy-2-deoxyguanosine,0.3611
Inosine,0.3547
trans-Aconitic acid,0.3492
Sphinganine,0.3324
Methyl DL-2-Aminobutyrate,0.3175
Kynurenine,0.3109
Kaempferol,0.3054
Pseudouridine,0.29
Glycocholic acid,0.2839
Creatine,0.2687
4-Methoxyphenol,0.2682
Glycogen,0.2614
Histidine,0.2507
Cysteine,0.2476
Glutamic acid,0.2388
4-Pyridoxic acid,0.2355
Adenine,0.2323
Creatinine,0.2278
Uric acid,0.2117
Guanine,0.1673
1-Hydroxylpyrene,0.1523
Uracil,0.1449
Tyrosine,0.1276
Xanthine,0.126
Purine,-0.1763
