Characteristic,NOR,DIA,HBP,H.D.,PRC,OVC,LC,PAC,CRC,p-Value
"Age (yr), median [IQR]","44.5 [36.8, 55.2]","60.0 [52.8, 66.0]","59.5 [54.0, 67.0]","62.5 [54.0, 70.2]","72.5 [67.0, 82.0]","56.5 [47.2, 62.8]","66.0 [60.0, 72.0]","68.0 [63.2, 73.8]","67.0 [59.8, 76.0]",<0.001
"Sex, n (%)",,,,,,,,,,<0.001
  Female,23 (23.0),28 (28.0),27 (27.0),24 (24.0),0 (0.0),70 (100.0),138 (46.0),36 (51.4),107 (35.7),
  Male,77 (77.0),72 (72.0),73 (73.0),76 (76.0),100 (100.0),0 (0.0),162 (54.0),34 (48.6),193 (64.3),
"BMI (kg/m²), median [IQR]","24.2 [22.4, 25.6]","24.2 [22.2, 26.4]","25.4 [22.9, 27.5]","25.1 [23.1, 27.0]","24.4 [22.0, 26.1]","23.5 [21.1, 26.7]","23.6 [21.7, 25.4]","21.4 [18.7, 24.3]","24.1 [21.5, 26.4]",<0.001
"Smoking status, n (%)",,,,,,,,,,
  Never,42 (42.0),37 (39.4),41 (42.3),38 (40.0),49 (51.0),29 (87.9),0 (0.0),—,—,
  Former,31 (31.0),36 (38.3),40 (41.2),34 (35.8),34 (35.4),0 (0.0),10 (29.4),—,—,
  Current,27 (27.0),21 (22.3),16 (16.5),23 (24.2),13 (13.5),4 (12.1),24 (70.6),—,—,
"Drinking status, n (%)",,,,,,,,,,
  Never,32 (32.0),42 (45.2),36 (37.5),33 (34.4),74 (77.9),27 (90.0),0 (0.0),—,—,
  Former,0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (1.1),0 (0.0),0 (0.0),—,—,
  Current,68 (68.0),51 (54.8),60 (62.5),63 (65.6),20 (21.1),3 (10.0),33 (100.0),—,—,
"Stage, n (%)",,,,,,,,,,
  Early (I–II),—,—,—,—,24 (24.0),8 (11.4),228 (76.0),39 (55.7),253 (84.3),
  Advanced (III–IV),—,—,—,—,51 (51.0),5 (7.1),27 (9.0),29 (41.4),47 (15.7),
  Unknown,—,—,—,—,25 (25.0),57 (81.4),45 (15.0),2 (2.9),0,
