Characteristic,Non-cancer,PRC,OVC,LC,PAC,CRC,p-Value
"Age (yr), median [IQR]","58.0 [49.0, 65.0]","72.5 [67.0, 82.0]","56.5 [47.2, 62.8]","66.0 [60.0, 72.0]","68.0 [63.2, 73.8]","67.0 [59.8, 76.0]",<0.001
"Sex, n (%)",,,,,,,<0.001
  Female,102 (25.5),0 (0.0),70 (100.0),138 (46.0),36 (51.4),107 (35.7),
  Male,298 (74.5),100 (100.0),0 (0.0),162 (54.0),34 (48.6),193 (64.3),
"BMI (kg/m²), median [IQR]","24.6 [22.6, 26.9]","24.4 [22.0, 26.1]","23.5 [21.1, 26.7]","23.6 [21.7, 25.4]","21.4 [18.7, 24.3]","24.1 [21.5, 26.4]",<0.001
"Smoking status, n (%)",,,,,,,
  Never,158 (40.9),49 (51.0),29 (87.9),0 (0.0),—,—,
  Former,141 (36.5),34 (35.4),0 (0.0),10 (29.4),—,—,
  Current,87 (22.5),13 (13.5),4 (12.1),24 (70.6),—,—,
"Drinking status, n (%)",,,,,,,
  Never,143 (37.1),74 (77.9),27 (90.0),0 (0.0),—,—,
  Former,0 (0.0),1 (1.1),0 (0.0),0 (0.0),—,—,
  Current,242 (62.9),20 (21.1),3 (10.0),33 (100.0),—,—,
"Stage, n (%)",,,,,,,
  Early (I–II),—,24 (24.0),8 (11.4),228 (76.0),39 (55.7),253 (84.3),
  Advanced (III–IV),—,51 (51.0),5 (7.1),27 (9.0),29 (41.4),47 (15.7),
  Unknown,—,25 (25.0),57 (81.4),45 (15.0),2 (2.9),0,
