cancer,display,wavenumber,mean_cancer,mean_control,log2_fc,abs_diff,p_value,p_adj,neg_log10p
CPAN,Pancreatic (PAC),726.97,0.8805886863421098,2.574452161261959,-1.547724170135693,-1.6938634749198491,2.249704263245797e-21,1.0517367430674102e-18,17.978092953472085
CPAN,Pancreatic (PAC),728.9,0.8071927838036221,2.2714715054591004,-1.4926408733040926,-1.4642787216554782,1.714718809870835e-21,1.0517367430674102e-18,17.978092953472085
CPAN,Pancreatic (PAC),725.05,0.9458319691873545,2.774916077460388,-1.5527873239663275,-1.8290841082730336,1.282367454966565e-20,3.478655521616255e-18,17.458588575698624
CPAN,Pancreatic (PAC),730.82,0.7397144260056104,1.9297505633366963,-1.3833728594186658,-1.1900361373310857,1.488194875557756e-20,3.478655521616255e-18,17.458588575698624
CPAN,Pancreatic (PAC),723.13,0.9848667749430764,2.821626979685612,-1.5185258356611502,-1.8367602047425355,1.2926013180071435e-19,2.4171644646733582e-17,16.616693799046168
CPAN,Pancreatic (PAC),732.74,0.6792783614154523,1.6048536225113714,-1.2403656887015937,-0.9255752610959191,3.725533275205982e-18,3.483373612317593e-16,15.4579999424048
CPAN,Pancreatic (PAC),721.2,0.9808202083496306,2.693610188901728,-1.4574795391025737,-1.7127899805520976,5.485611295897389e-18,4.66276960151278e-16,15.33135604353408
CPAN,Pancreatic (PAC),719.28,0.9282974723046145,2.4071650836628287,-1.3746750353874713,-1.4788676113582142,3.1631657759958477e-16,1.7397411767977163e-14,13.759515357378016
CPAN,Pancreatic (PAC),1719.19,0.04199808963521814,0.787999808740419,-4.22976714860578,-0.7460017191052009,5.853014932765085e-16,3.040316090075197e-14,13.517081262102051
CPAN,Pancreatic (PAC),734.66,0.6238492347705682,1.3419176698375574,-1.1050256024936742,-0.7180684350669893,8.554671475847755e-16,4.2097988578513954e-14,13.375738654048435
CPAN,Pancreatic (PAC),1717.27,0.07192920249281165,0.77817098599439,-3.435419473972691,-0.7062417835015784,4.7022095550167834e-15,2.1982829669703463e-13,12.657916405140886
CPAN,Pancreatic (PAC),807.73,-0.4058182722017185,-0.7359034662917622,-0.8586842999484198,0.33008519409004367,1.1087153131897453e-14,4.712040081056417e-13,12.326791024055506
CPAN,Pancreatic (PAC),1715.35,0.08732902268961626,0.751469174285154,-3.105166224845794,-0.6641401515955377,1.9174692256510568e-14,7.794929243407556e-13,12.108187822660787
CPAN,Pancreatic (PAC),805.81,-0.32460085711013636,-0.7188351583428086,-1.1469966012205226,0.3942343012326723,2.998149204765454e-14,1.1680289610232084e-12,11.93254638885321
CPAN,Pancreatic (PAC),809.66,-0.47304837547783984,-0.7418878906153417,-0.6492145717324086,0.2688395151375018,3.893864068040124e-14,1.4563051614470063e-12,11.836747611255081
CPAN,Pancreatic (PAC),1011.56,1.9050615747702646,3.0740866685705774,-0.690319923128614,-1.1690250938003128,4.7956666726962214e-14,1.6014101210610598e-12,11.795497431038616
CPAN,Pancreatic (PAC),2176.85,-0.5937078648121288,-0.7688805742913155,-0.3730068593223027,0.17517270947918673,4.713266368544739e-14,1.6014101210610598e-12,11.795497431038616
CPAN,Pancreatic (PAC),1111.55,-0.543285474123986,-0.8063001396529225,-0.5696073641624706,0.2630146655289365,6.952666487894848e-14,2.2416355745454077e-12,11.649434989791093
CPAN,Pancreatic (PAC),2180.69,-0.5886006168072462,-0.7576728777785526,-0.3642865978680533,0.16907226097130645,8.843881517610438e-14,2.7563430729885864e-12,11.5596667281893
CPAN,Pancreatic (PAC),2178.77,-0.5905888515325912,-0.7611543926464697,-0.36603554408236716,0.17056554111387845,1.0229995017863987e-13,3.085498497323493e-12,11.51067466075641
CPAN,Pancreatic (PAC),736.59,0.5833994628778306,1.1566443992250794,-0.9873881992368226,-0.5732449363472488,1.1628878361492134e-13,3.3978128962484828e-12,11.468800539641212
CPAN,Pancreatic (PAC),1009.64,2.2875877413167744,3.5747191551612274,-0.6440025955404564,-1.287131413844453,1.55328581007949e-13,4.381735480409136e-12,11.35835384376896
CPAN,Pancreatic (PAC),1109.63,-0.5319499269112212,-0.809437948173573,-0.6056309674624258,0.2774880212623517,1.593358356512413e-13,4.381735480409136e-12,11.35835384376896
CPAN,Pancreatic (PAC),1713.43,0.1170684838509239,0.7236924528889087,-2.628013658009485,-0.6066239690379848,1.6765746903254076e-13,4.3915215009748355e-12,11.357384986592402
CPAN,Pancreatic (PAC),2182.62,-0.5875836979571339,-0.7551908761210998,-0.36204750971689853,0.16760717816396586,1.7491716809083975e-13,4.4202041125658154e-12,11.354557675692922
CPAN,Pancreatic (PAC),717.36,0.833690457234436,2.0109776902756105,-1.270312336652967,-1.1772872330411746,1.9692758853887367e-13,4.845455139048602e-12,11.314665422928263
CPAN,Pancreatic (PAC),1013.49,1.5901665074591063,2.575310327853759,-0.6955681030866029,-0.9851438203946525,3.762730073795041e-13,9.020904151277855e-12,11.044749931611953
CPAN,Pancreatic (PAC),811.58,-0.5166686753601514,-0.7418382924650839,-0.5218661682847032,0.22516961710493255,4.674360837363705e-13,1.092631845733766e-11,10.961526145735316
CPAN,Pancreatic (PAC),1107.71,-0.5150966931675317,-0.8028148672355195,-0.6402250595937389,0.28771817406798783,5.850258607778057e-13,1.3341443410420691e-11,10.874797181568695
CPAN,Pancreatic (PAC),803.89,-0.24949499308345363,-0.694371924458377,-1.4767014576889699,0.4448769313749234,6.734887389634888e-13,1.4993142165020525e-11,10.824107341005954
CRC,Colorectal (CRC),805.81,-0.01895821746625554,-0.7188351583428086,-5.244839839412667,0.69987694087655306,2.280708884562154e-74,2.132462807065614e-72,71.67111853475694
CRC,Colorectal (CRC),982.72,2.5486240105923947,0.8720496958771773,1.547235207151825,1.6765743147152175,4.035935519404218e-71,3.430545191493585e-69,68.46463685522198
CRC,Colorectal (CRC),807.73,-0.1785454060207018,-0.7359034662917622,-2.043231636132603,0.5573580602710604,7.30281991202752e-71,5.690113848121444e-69,68.2448790441293
CRC,Colorectal (CRC),984.64,3.191687784548629,1.279138261424903,1.3191466432831185,1.9125495231237262,9.352593950505347e-71,6.246196674087501e-69,68.20438434525373
CRC,Colorectal (CRC),786.58,-0.11451607856314924,-0.6698295543078228,-2.548254303347829,0.5553134757446735,1.1449245676613804e-70,7.136696471755938e-69,68.14650277367107
CRC,Colorectal (CRC),980.8,1.9561225276919425,0.5279492482040681,1.8895235906160608,1.4281732794878743,4.562242519207601e-70,2.5092333855641806e-68,67.60045894277114
CRC,Colorectal (CRC),728.9,0.7159497129707101,2.2714715054591004,-1.6656956637998097,-1.5555217924883902,5.9220727410685e-70,3.0761877849439153e-68,67.51198715668737
CRC,Colorectal (CRC),730.82,0.621302697289749,1.9297505633366963,-1.635044581863877,-1.3084478660469472,9.536750335132309e-70,4.4584307816743545e-68,67.35081797150731
CRC,Colorectal (CRC),986.57,3.8648771762475653,1.747110953207141,1.1454508823877723,2.1177662230404244,1.9318805712708272e-69,8.210492427901015e-68,67.08563079509653
CRC,Colorectal (CRC),978.87,1.4404449843528648,0.2373445736518021,2.60145451176667,1.2031004107010628,3.0597940523977246e-69,1.2438727995616836e-67,66.9052240290286
CRC,Colorectal (CRC),976.95,1.009548579308896,0.0018920359293868052,9.058794254973257,1.0076565433795093,4.8681995355377854e-68,1.8207066262911316e-66,65.73976002721292
CRC,Colorectal (CRC),988.49,4.530025293739087,2.2625733597148083,1.0015542168844167,2.2674519340242782,1.0594852823152641e-67,3.81007207294143e-66,65.41906680894782
CRC,Colorectal (CRC),726.97,0.8079660780892254,2.574452161261959,-1.6718976080934738,-1.7664860831727336,2.7826608826362694e-67,9.292099733088972e-66,65.03188613751819
CRC,Colorectal (CRC),732.74,0.5432963720958228,1.6048536225113714,-1.56262864128884,-1.0615572504155486,1.1692188436926331e-65,3.526514899524555e-64,63.45265427692143
CRC,Colorectal (CRC),809.66,-0.31742402265939457,-0.7418878906153417,-1.2247924772878658,0.4244638679559471,2.1111307767312076e-65,6.168460238261497e-64,63.20982323037206
CRC,Colorectal (CRC),990.41,5.126393889625689,2.801610281670736,0.8716878162599869,2.324783607954953,4.655368796245648e-65,1.3190211589362668e-63,62.879748237709464
CRC,Colorectal (CRC),725.05,0.8776245292776924,2.774916077460388,-1.6607672621434888,-1.8972915481826957,3.2599983083690745e-64,8.964995348014955e-63,62.04744993145952
CRC,Colorectal (CRC),784.66,-0.2793324802074625,-0.7033432576176625,-1.332248726513798,0.4240107774102,5.0362810132596325e-62,1.2726818236210153e-60,59.89528015841809
CRC,Colorectal (CRC),723.13,0.9043308578904441,2.821626979685612,-1.6416035938248534,-1.9172961217951678,2.9476956465680325e-61,7.252882709318711e-60,59.13948934571591
CRC,Colorectal (CRC),992.33,5.5962891401111445,3.3427031373532983,0.7434550933721453,2.2535860027578463,3.451363706739206e-60,8.067562664502893e-59,58.09325765254418
CRC,Colorectal (CRC),1594.21,0.3753141628694297,1.0885708605997841,-1.536262166311924,-0.7132566977303545,5.23059325443331e-59,1.1373499285802664e-57,56.94410589532067
CRC,Colorectal (CRC),1592.28,0.3469949999567834,1.026816633205489,-1.5651890390214895,-0.6798216332487057,1.1227288790368876e-58,2.3327811153322e-57,56.63212600911152
CRC,Colorectal (CRC),1596.13,0.3935425423171163,1.1241345659797144,-1.514220857077448,-0.7305920236625981,1.5044535431220968e-58,3.057965353954697e-57,56.51456743935258
CRC,Colorectal (CRC),1598.05,0.3949309526480576,1.126956332601078,-1.512756893739395,-0.7320253799530205,2.5216354194145116e-58,5.016444930111848e-57,56.29960395102046
CRC,Colorectal (CRC),721.2,0.8707894315363345,2.693610188901728,-1.6291441590225824,-1.8228207573653936,2.830056480869454e-58,5.512714186693624e-57,56.25863452345752
CRC,Colorectal (CRC),1599.97,0.37767502110246837,1.0920878413025599,-1.531869129961716,-0.7144128202000914,1.9437317016886945e-57,3.708957430773325e-56,55.4307481512188
CRC,Colorectal (CRC),734.66,0.4931789231739859,1.3419176698375574,-1.4441112607541966,-0.8487387466635716,2.1942255854006803e-57,4.103201844699272e-56,55.38687711869407
CRC,Colorectal (CRC),1590.36,0.32029596905871766,0.9612316450386477,-1.5854754995074538,-0.6409356759799301,4.8504909470693066e-57,8.72155583751885e-56,55.0594060344049
CRC,Colorectal (CRC),1601.9,0.34002750696915074,1.024041084258056,-1.5905473981012064,-0.6840135772889053,4.117992553623748e-56,7.130227847478156e-55,54.14689659198243
