task,metric,value,ci95_low,ci95_high,n
screening_binary,accuracy,0.7155963302752294,0.6330275229357798,0.7981651376146789,109
screening_binary,balanced_accuracy,0.7042682926829269,0.6168152943579112,0.7942696215402446,109
screening_binary,macro_f1,0.7011057054400707,0.6112987987987988,0.7865830425793111,109
screening_binary,roc_auc,0.7137733142037302,0.6108273667070085,0.8135519654556284,109
screening_binary,pr_auc,0.5875764167242025,0.4479655196862587,0.7629551697335174,109
screening_binary,sensitivity,0.6585365853658537,0.5142857142857142,0.8039322250639386,109
screening_binary,specificity,0.75,0.6417910447761194,0.8484848484848485,109
aligned_screening_binary,accuracy,0.7247706422018348,0.6422018348623854,0.8073394495412844,109
aligned_screening_binary,balanced_accuracy,0.7067790530846485,0.6221866765480897,0.797451923076923,109
aligned_screening_binary,macro_f1,0.7067790530846485,0.6188811188811189,0.793728034603947,109
aligned_screening_binary,roc_auc,0.7521520803443329,0.6528938632090956,0.8488760152890586,109
aligned_screening_binary,pr_auc,0.6664776531853555,0.5238074819052397,0.819129830051033,109
aligned_screening_binary,sensitivity,0.6341463414634146,0.4864671814671815,0.7857142857142857,109
aligned_screening_binary,specificity,0.7794117647058824,0.6794642857142857,0.8732394366197183,109
strict_binary,accuracy,0.8548387096774194,0.7580645161290323,0.9354838709677419,62
strict_binary,balanced_accuracy,0.8321718931475028,0.7235758762269897,0.927172582619339,62
strict_binary,macro_f1,0.8360270349691449,0.7267117249485748,0.9279907084785133,62
strict_binary,roc_auc,0.9279907084785133,0.8508688501144165,0.980969575100542,62
strict_binary,pr_auc,0.9635133572552085,0.9163532534199181,0.9914230483356546,62
strict_binary,sensitivity,0.9024390243902439,0.7954399766899767,0.9772727272727273,62
strict_binary,specificity,0.7619047619047619,0.559888888888889,0.9333333333333333,62
aligned_strict_binary,accuracy,0.8387096774193549,0.7419354838709677,0.9193548387096774,62
aligned_strict_binary,balanced_accuracy,0.8199767711962833,0.7080765339748555,0.9155500804906604,62
aligned_strict_binary,macro_f1,0.8199767711962833,0.7087404996219586,0.9127988748241913,62
aligned_strict_binary,roc_auc,0.9175377468060396,0.8308049242424244,0.9840961716854573,62
aligned_strict_binary,pr_auc,0.9593137745762348,0.9081033310818198,0.9931906169711049,62
aligned_strict_binary,sensitivity,0.8780487804878049,0.7727272727272727,0.972972972972973,62
aligned_strict_binary,specificity,0.7619047619047619,0.5714285714285714,0.9333333333333333,62
three_group,accuracy,0.6697247706422018,0.5871559633027523,0.7522935779816514,109
three_group,balanced_accuracy,0.6676468892348498,0.5759163059163059,0.7582197217139478,109
three_group,macro_f1,0.6744897959183672,0.5832496558695747,0.7593119043043886,109
three_group,macro_ovr_roc_auc,0.8105850414142447,0.7482592876719399,0.8744290218739839,109
aligned_three_group,accuracy,0.6788990825688074,0.5963302752293578,0.7706422018348624,109
aligned_three_group,balanced_accuracy,0.7021194224100297,0.6178595571095571,0.7911951029343409,109
aligned_three_group,macro_f1,0.6911442667540229,0.6034331014692274,0.7757969576719577,109
aligned_three_group,macro_ovr_roc_auc,0.8342623737964491,0.7790294540825891,0.892642383878906,109
cohort_source,accuracy,0.9848484848484849,0.9621212121212122,1.0,132
cohort_source,balanced_accuracy,0.982310372554275,0.9507010421899974,1.0,132
cohort_source,macro_f1,0.982310372554275,0.9534391534391534,1.0,132
cohort_source,roc_auc,0.9986598767086572,0.9947409299287316,1.0,132
cohort_source,pr_auc,0.9969474004188617,0.987784286882053,1.0000000000000002,132
cohort_source,sensitivity,0.975609756097561,0.918918918918919,1.0,132
cohort_source,specificity,0.989010989010989,0.9651162790697675,1.0,132
aligned_cohort_source,accuracy,0.9772727272727273,0.946969696969697,1.0,132
aligned_cohort_source,balanced_accuracy,0.9768158670597695,0.9440578618457762,1.0,132
aligned_cohort_source,macro_f1,0.9736404180256939,0.9376644403966807,1.0,132
aligned_cohort_source,roc_auc,0.9981238273921201,0.9934566145092462,1.0,132
aligned_cohort_source,pr_auc,0.9960607820363918,0.9859271328265232,1.0,132
aligned_cohort_source,sensitivity,0.975609756097561,0.918918918918919,1.0,132
aligned_cohort_source,specificity,0.978021978021978,0.9431818181818182,1.0,132
