stage,clean_peak_cm-1,prospective_peak_cm-1,prospective_minus_clean_cm-1,within_5cm-1
Common grid only,850.0385438972163,850.0385438972163,0.0,True
Common grid only,936.5695931477517,934.6466809421842,-1.9229122055675134,True
Common grid only,1001.948608137045,1000.0256959314776,-1.9229122055673997,True
Common grid only,1292.3083511777304,1292.3083511777304,0.0,True
Common grid only,1449.9871520342613,1446.1413276231265,-3.8458244111347994,True
Common grid only,1648.047109207709,1648.047109207709,0.0,True
Common grid only,2099.93147751606,2096.085653104925,-3.845824411135254,True
Urea aligned,850.0385438972163,848.1156316916488,-1.9229122055675134,True
Urea aligned,936.5695931477517,934.6466809421842,-1.9229122055675134,True
Urea aligned,1001.948608137045,1000.0256959314776,-1.9229122055673997,True
Urea aligned,1292.3083511777304,1294.2312633832976,1.9229122055671724,True
Urea aligned,1449.9871520342613,1448.0642398286939,-1.9229122055673997,True
Urea aligned,1648.047109207709,1649.9700214132763,1.9229122055673997,True
Urea aligned,2099.93147751606,2098.0085653104925,-1.922912205567627,True
