consensus_peak_cm_minus_1,category,present_groups,non_cancer_peak_cm_minus_1,cancer_peak_cm_minus_1
555.8,common,Non-cancer;Cancer,555.8,555.8
680.8,common,Non-cancer;Cancer,680.8,680.8
744.3,common,Non-cancer;Cancer,744.3,744.3
849.0,common,Non-cancer;Cancer,848.1,850.0
896.2,common,Non-cancer;Cancer,896.2,896.2
934.6,common,Non-cancer;Cancer,934.6,934.6
1000.0,common,Non-cancer;Cancer,1000.0,1000.0
1292.3,common,Non-cancer;Cancer,1292.3,1292.3
1447.1,common,Non-cancer;Cancer,1448.1,1446.1
1650.0,common,Non-cancer;Cancer,1651.9,1648.0
2096.1,common,Non-cancer;Cancer,2096.1,2096.1
