clinical_group,n_subjects,peak_cm_minus_1,mean_intensity,prominence,prominence_threshold
Non-cancer,68,555.8,0.370129934462222,1.1671272472035576,0.5263474109332748
Non-cancer,68,680.8,0.1448831885146848,0.675925076030047,0.5263474109332748
Non-cancer,68,744.3,1.957247411622905,2.76269498865845,0.5263474109332748
Non-cancer,68,848.1,0.8976380470415769,1.1948953918064387,0.5263474109332748
Non-cancer,68,896.2,0.5636470457350269,0.7328393362769059,0.5263474109332748
Non-cancer,68,934.6,0.9753989584608275,1.7349754053270114,0.5263474109332748
Non-cancer,68,1000.0,4.343407055431197,5.183476424487551,0.5263474109332748
Non-cancer,68,1292.3,0.3667937871358082,1.142986627679352,0.5263474109332748
Non-cancer,68,1448.1,3.8881990832572226,4.678892589571774,0.5263474109332748
Non-cancer,68,1651.9,0.8700368840844794,1.6866484383435867,0.5263474109332748
Non-cancer,68,2096.1,0.9561340670206167,1.7299549252654938,0.5263474109332748
Cancer,41,555.8,0.4113120297095527,1.1912437343060098,0.5460408754614251
Cancer,41,680.8,0.08290323852853086,0.6785029511384927,0.5460408754614251
Cancer,41,744.3,1.8849795200245103,2.693123195684891,0.5460408754614251
Cancer,41,850.0,0.8688850226361684,1.2410576314878319,0.5460408754614251
Cancer,41,896.2,0.49463341604376604,0.6913358793896599,0.5460408754614251
Cancer,41,934.6,0.8745348999866154,1.55599463153282,0.5460408754614251
Cancer,41,1000.0,4.578138716870726,5.395738380185528,0.5460408754614251
Cancer,41,1292.3,0.427773240299609,1.2142422129400308,0.5460408754614251
Cancer,41,1446.1,3.730037415297136,4.524014907870021,0.5460408754614251
Cancer,41,1648.0,1.001791334495279,1.789823645152816,0.5460408754614251
Cancer,41,2096.1,0.889968330021495,1.673129984799632,0.5460408754614251
