consensus_peak_cm_minus_1,category,present_groups,control_peak_cm_minus_1,biopsy_negative_peak_cm_minus_1,cancer_peak_cm_minus_1
555.8,common,Control;Biopsy-negative;Cancer,555.8,555.8,555.8
680.2,common,Control;Biopsy-negative;Cancer,678.9,680.8,680.8
744.9,common,Control;Biopsy-negative;Cancer,744.3,746.2,744.3
848.7,common,Control;Biopsy-negative;Cancer,846.2,850.0,850.0
895.6,common,Control;Biopsy-negative;Cancer,894.3,896.2,896.2
934.6,common,Control;Biopsy-negative;Cancer,934.6,934.6,934.6
1000.6,common,Control;Biopsy-negative;Cancer,1000.0,1001.9,1000.0
1291.0,common,Control;Biopsy-negative;Cancer,1288.5,1292.3,1292.3
1446.8,common,Control;Biopsy-negative;Cancer,1446.1,1448.1,1446.1
1600.0,differential,Control,1600.0,,
1649.3,common,Control;Biopsy-negative;Cancer,1651.9,1648.0,1648.0
2096.7,common,Control;Biopsy-negative;Cancer,2096.1,2098.0,2096.1
