clinical_group,n_subjects,peak_cm_minus_1,mean_intensity,prominence,prominence_threshold
Control,21,555.8,0.324368111645105,1.12443688280509,0.4911548727766727
Control,21,678.9,0.04607989249122818,0.5916807477189079,0.4911548727766727
Control,21,744.3,1.9220932701006708,2.76098315051439,0.4911548727766727
Control,21,846.2,0.8884278068800423,1.2088527333115913,0.4911548727766727
Control,21,894.3,0.6135543220383225,0.8216907388920549,0.4911548727766727
Control,21,934.6,1.0499761828391792,1.8610837514378593,0.4911548727766727
Control,21,1000.0,3.853986256606885,4.727329108076639,0.4911548727766727
Control,21,1288.5,0.41041436786357144,1.1968892813683176,0.4911548727766727
Control,21,1446.1,3.971081103343252,4.85999384321726,0.4911548727766727
Control,21,1600.0,0.6188990627646342,0.5178294756712588,0.4911548727766727
Control,21,1651.9,0.8329234688065791,1.6915491681660801,0.4911548727766727
Control,21,2096.1,1.1233943825600103,1.9261560043258046,0.4911548727766727
Biopsy-negative,47,555.8,0.39057670635923175,1.1810819776300605,0.5518535082689591
Biopsy-negative,47,680.8,0.1892713090925962,0.7400030143903806,0.5518535082689591
Biopsy-negative,47,746.2,1.9733037025272626,2.772624194106271,0.5518535082689591
Biopsy-negative,47,850.0,0.9133333972086481,1.200239269313926,0.5518535082689591
Biopsy-negative,47,896.2,0.5419123267177639,0.6998524058451069,0.5518535082689591
Biopsy-negative,47,934.6,0.9420772199087986,1.6786291230221653,0.5518535082689591
Biopsy-negative,47,1001.9,4.606680712965427,5.431387983845927,0.5518535082689591
Biopsy-negative,47,1292.3,0.35908577011362486,1.0969590721417468,0.5518535082689591
Biopsy-negative,47,1448.1,3.8568310470671063,4.655622885628559,0.5518535082689591
Biopsy-negative,47,1648.0,0.889741535666417,1.687580812327476,0.5518535082689591
Biopsy-negative,47,2098.0,0.8814497956743921,1.642339674473753,0.5518535082689591
Cancer,41,555.8,0.4113120297095527,1.1912437343060098,0.5460408754614251
Cancer,41,680.8,0.08290323852853086,0.6785029511384927,0.5460408754614251
Cancer,41,744.3,1.8849795200245103,2.693123195684891,0.5460408754614251
Cancer,41,850.0,0.8688850226361684,1.2410576314878319,0.5460408754614251
Cancer,41,896.2,0.49463341604376604,0.6913358793896599,0.5460408754614251
Cancer,41,934.6,0.8745348999866154,1.55599463153282,0.5460408754614251
Cancer,41,1000.0,4.578138716870726,5.395738380185528,0.5460408754614251
Cancer,41,1292.3,0.427773240299609,1.2142422129400308,0.5460408754614251
Cancer,41,1446.1,3.730037415297136,4.524014907870021,0.5460408754614251
Cancer,41,1648.0,1.001791334495279,1.789823645152816,0.5460408754614251
Cancer,41,2096.1,0.889968330021495,1.673129984799632,0.5460408754614251
