metric,estimate,ci_lower,ci_upper
auroc,0.7471264367816092,0.6126436781609196,0.8621582167223615
pr_auc,0.7871204934103316,0.6463536769018797,0.8956153114256705
accuracy,0.6271186440677966,0.5084745762711864,0.7457627118644068
sensitivity,0.6,0.41935483870967744,0.7777777777777778
specificity,0.6551724137931034,0.4721813725490196,0.8214285714285714
precision,0.6428571428571429,0.464217032967033,0.8148148148148148
npv,0.6129032258064516,0.4347463768115942,0.782608695652174
f1,0.6206896551724138,0.4583333333333333,0.7586206896551724
repeated_cv_mean_auroc,0.7202873563218389,,
repeated_cv_sd_auroc,0.040138607451740055,,
