model,auroc,pr_auc,accuracy,sensitivity,specificity,precision_ppv,npv,f1,tp,fp,tn,fn,threshold
lr_raw,0.6055555555555555,0.6192858422672408,0.6,0.6,0.6,0.6,0.6,0.6,18.0,12.0,18.0,12.0,0.5
lr_d1,0.55,0.5333857680442263,0.48333333333333334,0.43333333333333335,0.5333333333333333,0.48148148148148145,0.48484848484848486,0.45614035087719296,13.0,14.0,16.0,17.0,0.5
lr_d2,0.4955555555555556,0.48956184746230563,0.4666666666666667,0.43333333333333335,0.5,0.4642857142857143,0.46875,0.4482758620689655,13.0,15.0,15.0,17.0,0.5
lr_concat,0.5566666666666666,0.5430240357667742,0.5333333333333333,0.4666666666666667,0.6,0.5384615384615384,0.5294117647058824,0.5,14.0,12.0,18.0,16.0,0.5
lr_peak,0.4811111111111111,0.46763488932055103,0.5166666666666667,0.43333333333333335,0.6,0.52,0.5142857142857142,0.4727272727272727,13.0,12.0,18.0,17.0,0.5
xgb_raw,0.6166666666666667,0.55949873963975,0.6,0.6666666666666666,0.5333333333333333,0.5882352941176471,0.6153846153846154,0.625,20.0,14.0,16.0,10.0,0.5
xgb_d1,0.4911111111111111,0.4659016193837634,0.5,0.5666666666666667,0.43333333333333335,0.5,0.5,0.53125,17.0,17.0,13.0,13.0,0.5
rf_raw,0.6194444444444445,0.5563556619770572,0.6166666666666667,0.6666666666666666,0.5666666666666667,0.6060606060606061,0.6296296296296297,0.6349206349206349,20.0,13.0,17.0,10.0,0.5
rf_d1,0.525,0.4759923970220079,0.5666666666666667,0.7,0.43333333333333335,0.5526315789473685,0.5909090909090909,0.6176470588235294,21.0,17.0,13.0,9.0,0.5
ridge_concat,0.5566666666666666,0.5423942332126979,0.5333333333333333,0.4666666666666667,0.6,0.5384615384615384,0.5294117647058824,0.5,14.0,12.0,18.0,16.0,0.5
