source_group,clinical_field,nonmissing,missing,completeness_pct
YNOR,age,30,0,100.0
YNOR,sex,30,0,100.0
YNOR,height_cm,30,0,100.0
YNOR,weight_kg,30,0,100.0
YNOR,bmi,30,0,100.0
YNOR,bp_systolic,0,30,0.0
YNOR,bp_diastolic,0,30,0.0
YNOR,smoking_status,30,0,100.0
YNOR,drinking_status,30,0,100.0
YNOR,past_history,18,12,60.0
YNOR,diagnosis,30,0,100.0
YNOR,diagnosis_date,15,15,50.0
YNOR,sample_date,30,0,100.0
YNOR,surgery_date,0,30,0.0
YNOR,pathology,0,30,0.0
YNOR,stage,0,30,0.0
YNOR,tnm,0,30,0.0
YNOR,t_stage,0,30,0.0
YNOR,n_stage,0,30,0.0
YNOR,m_stage,0,30,0.0
YNOR,metastasis,0,30,0.0
YNOR,treatment,0,30,0.0
YNOR,fasting,30,0,100.0
YNOR,surgery_name,0,30,0.0
YNOR,chemo_date,0,30,0.0
YNOR,treatment_detail,0,30,0.0
YNOR,sample_timing,15,15,50.0
YNOR,wbc,0,30,0.0
YNOR,rbc,0,30,0.0
YNOR,hb,0,30,0.0
YNOR,hct,0,30,0.0
YNOR,platelet,0,30,0.0
YNOR,neutrophil_pct,0,30,0.0
YNOR,lymphocyte_pct,0,30,0.0
YNOR,ast,17,13,56.7
YNOR,alt,17,13,56.7
YNOR,alp,0,30,0.0
YNOR,ggt,0,30,0.0
YNOR,bun,0,30,0.0
YNOR,creatinine,0,30,0.0
YNOR,uric_acid,0,30,0.0
YNOR,glucose,0,30,0.0
YNOR,total_protein,0,30,0.0
YNOR,albumin,0,30,0.0
YNOR,total_bilirubin,17,13,56.7
YNOR,ldh,0,30,0.0
YNOR,calcium,0,30,0.0
YNOR,hs_crp,0,30,0.0
YNOR,sodium,0,30,0.0
YNOR,potassium,0,30,0.0
YNOR,chloride,0,30,0.0
YNOR,total_cholesterol,0,30,0.0
YNOR,triglyceride,0,30,0.0
YNOR,hdl_c,0,30,0.0
YNOR,ldl_c,0,30,0.0
YNOR,hba1c,0,30,0.0
YNOR,afp,0,30,0.0
YNOR,cea,13,17,43.3
YNOR,ca19_9,14,16,46.7
YNOR,psa,0,30,0.0
YNOR,ua_sg,30,0,100.0
YNOR,ua_ph,30,0,100.0
YNOR,ua_protein,30,0,100.0
YNOR,ua_glucose,0,30,0.0
YNOR,ua_blood,30,0,100.0
YPAN,age,30,0,100.0
YPAN,sex,30,0,100.0
YPAN,height_cm,30,0,100.0
YPAN,weight_kg,30,0,100.0
YPAN,bmi,30,0,100.0
YPAN,bp_systolic,0,30,0.0
YPAN,bp_diastolic,0,30,0.0
YPAN,smoking_status,30,0,100.0
YPAN,drinking_status,30,0,100.0
YPAN,past_history,25,5,83.3
YPAN,diagnosis,30,0,100.0
YPAN,diagnosis_date,30,0,100.0
YPAN,sample_date,30,0,100.0
YPAN,surgery_date,4,26,13.3
YPAN,pathology,30,0,100.0
YPAN,stage,21,9,70.0
YPAN,tnm,0,30,0.0
YPAN,t_stage,18,12,60.0
YPAN,n_stage,13,17,43.3
YPAN,m_stage,21,9,70.0
YPAN,metastasis,20,10,66.7
YPAN,treatment,0,30,0.0
YPAN,fasting,30,0,100.0
YPAN,surgery_name,4,26,13.3
YPAN,chemo_date,0,30,0.0
YPAN,treatment_detail,0,30,0.0
YPAN,wbc,0,30,0.0
YPAN,rbc,0,30,0.0
YPAN,hb,0,30,0.0
YPAN,hct,0,30,0.0
YPAN,platelet,0,30,0.0
YPAN,neutrophil_pct,0,30,0.0
YPAN,lymphocyte_pct,0,30,0.0
YPAN,ast,30,0,100.0
YPAN,alt,30,0,100.0
YPAN,alp,0,30,0.0
YPAN,ggt,0,30,0.0
YPAN,bun,0,30,0.0
YPAN,creatinine,0,30,0.0
YPAN,uric_acid,0,30,0.0
YPAN,glucose,0,30,0.0
YPAN,total_protein,0,30,0.0
YPAN,albumin,0,30,0.0
YPAN,total_bilirubin,30,0,100.0
YPAN,ldh,0,30,0.0
YPAN,calcium,0,30,0.0
YPAN,hs_crp,0,30,0.0
YPAN,sodium,0,30,0.0
YPAN,potassium,0,30,0.0
YPAN,chloride,0,30,0.0
YPAN,total_cholesterol,0,30,0.0
YPAN,triglyceride,0,30,0.0
YPAN,hdl_c,0,30,0.0
YPAN,ldl_c,0,30,0.0
YPAN,hba1c,0,30,0.0
YPAN,afp,0,30,0.0
YPAN,cea,30,0,100.0
YPAN,ca19_9,24,6,80.0
YPAN,psa,0,30,0.0
YPAN,ua_sg,30,0,100.0
YPAN,ua_ph,30,0,100.0
YPAN,ua_protein,30,0,100.0
YPAN,ua_glucose,0,30,0.0
YPAN,ua_blood,30,0,100.0
YPAN,sample_timing,0,30,0.0
